submission time,team,problem,language,points,time,memory
2024-01-28 18:38:29.603000+00:00,jam,maya,Java,0,985,90.192
2024-01-28 18:41:00.864000+00:00,admin,maya,Python,100,110,6.592
2024-01-28 18:51:11.621000+00:00,Acidic Drums Keep Victorious Zebras,megu,Python,10,99,3.636
2024-01-28 18:46:25.706000+00:00,jam,maya,Java,10,646,90.636
2024-01-28 20:28:09.783000+00:00,Acidic Drums Keep Victorious Zebras,chino,C++,0,2099,1.388
2024-01-28 20:42:52.081000+00:00,jam,chino,Java,60,2108,16.54
2024-01-28 20:28:08.588000+00:00,admin,chino,C++,20,2094,1.348
2024-01-28 19:09:24.104000+00:00,Acidic Drums Keep Victorious Zebras,cocoa,Python,0,11,3.324
2024-01-28 20:28:28.918000+00:00,Sammy,chino,Java,40,91,16.5
2024-01-28 19:39:12.973000+00:00,Sammy,cocoa,Python,0,11,3.796
2024-01-28 20:29:07.077000+00:00,Sammy,chino,Java,40,93,16.468
2024-01-28 18:19:15.978000+00:00,admin,maya,C++,40,34,1.848
2024-01-28 18:16:21.158000+00:00,Acidic Drums Keep Victorious Zebras,chino,C++,0,2099,1.244
2024-01-28 04:59:17.497000+00:00,admin,syaro,C++,0,3,1.288
2024-01-28 18:35:51.305000+00:00,jam,maya,Java,40,861,90.56
2024-01-28 20:55:02.600000+00:00,Acidic Drums Keep Victorious Zebras,chino,C++,0,2100,1.812
2024-01-28 20:49:47.597000+00:00,jam,chino,Java,0,90,16.588
2024-01-28 19:56:57.805000+00:00,admin,megu,C++,0,14,1.844
2024-01-28 17:50:22.129000+00:00,jam,syaro,Java,100,92,16.052
2024-01-28 18:47:42.797000+00:00,Acidic Drums Keep Victorious Zebras,megu,Python,0,92,3.636
2024-01-28 19:32:01.262000+00:00,Sammy,megu,Java,0,211,26.904
2024-01-28 20:42:17.967000+00:00,jam,chino,Java,40,92,16.66
2024-01-28 17:49:29.117000+00:00,Acidic Drums Keep Victorious Zebras,maya,C++,10,6,2.22
2024-01-28 20:57:13.365000+00:00,Acidic Drums Keep Victorious Zebras,chino,C++,60,2,1.796
2024-01-28 19:33:04.964000+00:00,Sammy,megu,Java,40,213,28.012
2024-01-28 22:30:23.265000+00:00,admin,megu,C++,100,27,1.852
2024-01-28 19:32:55.098000+00:00,jam,chino,Java,30,125,18.4
2024-01-28 19:56:28.317000+00:00,admin,megu,C++,0,17,1.336
2024-01-28 20:54:21.983000+00:00,Acidic Drums Keep Victorious Zebras,chino,C++,60,2,1.8
2024-01-28 17:56:20.500000+00:00,Acidic Drums Keep Victorious Zebras,maya,C++,0,49,3.156
2024-01-28 17:45:19.710000+00:00,Acidic Drums Keep Victorious Zebras,syaro,C++,100,4,1.836
2024-01-28 19:09:46.514000+00:00,Acidic Drums Keep Victorious Zebras,cocoa,C++,0,2,1.82
2024-01-28 20:54:50.922000+00:00,Acidic Drums Keep Victorious Zebras,chino,C++,0,2100,1.824
2024-01-28 18:39:15.468000+00:00,jam,maya,Java,40,897,88.948
2024-01-28 19:34:33.421000+00:00,jam,chino,Java,30,120,18.244
2024-01-28 18:47:11.780000+00:00,jam,maya,Java,10,632,87.136
2024-01-28 20:53:47.240000+00:00,Acidic Drums Keep Victorious Zebras,chino,C++,60,2,1.816
2024-01-28 20:34:49.085000+00:00,Acidic Drums Keep Victorious Zebras,chino,C++,40,2099,1.82
2024-01-28 18:44:54.291000+00:00,jam,maya,Java,0,671,88.38
2024-01-28 18:01:13.312000+00:00,Acidic Drums Keep Victorious Zebras,chino,Python,60,2100,3.32
2024-01-28 20:44:55.466000+00:00,Sammy,cocoa,Python,0,2101,128
2024-01-28 20:48:48.452000+00:00,jam,chino,Java,0,86,16.12
2024-01-28 19:28:30.676000+00:00,Sammy,cocoa,Python,0,2100,3.788
2024-01-28 19:58:11.621000+00:00,Acidic Drums Keep Victorious Zebras,chiya,C++,10,2,1.432
2024-01-28 18:30:37.415000+00:00,jam,maya,Java,10,914,87.584
2024-01-28 20:37:04.911000+00:00,Acidic Drums Keep Victorious Zebras,chino,C++,20,2099,1.82
2024-01-28 19:40:17.046000+00:00,Sammy,cocoa,Python,0,11,3.836
